Sent_id,Ambiguous Sentence
byf_30239,Şermin bir eteğin üstüne o gömleğin olmayacağından emindi.
bsv_92323,Annesini yarı yolda bırakan bir hemşirenin mesleğinde başarılı olamayacağına inanmıştı Nino.
biz_24088,Hiç kimsenin korkutmayı başaramadığı sihirbaz şimdi bir kaşıktan korkuyordu.
boc_57011,Bir ata atlayıp uçsuz bucaksız dağları aşmayı ummuştu Köroğlu.
bkc_58381,Feride bir taşın altına saklanan yılanın birden başını çıkarmasından endişeleniyordu.
byl_48843,Bir mektup aldıktan sonra saatlerce kendine gelemeyeceğini sanmıştı Dündar.
bxf_61773,Vedat sanıyordu ki tüm yemekleri denese bile bir tanesini hiçbiri geçemez.
btn_15541,Naciye bir kelebeğin gelip eteğine konacağını ummuştu.
bxd_79906,"Bir piyadenin kendisini yaralayacağından korkmuyordu Cankat, kendisi birini yaralamaktan korkuyordu."
bha_74138,Mikaela bir elmanın ağaçtan düşeceğini biliyor.
brd_26992,"Bir kişinin yaptığı işi herkes beğenecek diye bir kural yok, dedi Yusuf."
bbb_50746,Polisten aldığın evrakları dolabımdaki bir çekmeceye koymanı emretmiştim.
bwt_85141,Anıl sessiz bir ortamda çalışmak istiyorsa bir kütüphaneye gitmeli.
bhg_31939,Furkan’ın bir plan yaptığını düşünüyor musun?
bfj_34674,Beyza müzik kulübüne bir üye alınacağını söyledi.
bld_66075,Berk her gün bir antremana katılmalı.
bgd_32070,Şeyma bu sene bir belgesel çekerse ünlü olacağına inanıyor.
bmg_74973,Can bir seramik kursuna gitmeyi düşünüyor.
bwu_90507,Burak eski kitaplarla ilgileniyorsa bir sahafçıya gidebilir.
bhs_32283,Hakan iyi tenis oynamak için bir ders almalı mı?
brj_54052,Yeşim bir gösteriye davet alırsa katılmayı düşünüyor.
bcn_52861,Arzu bir iş ortağı bulmanın zor olduğuna inanıyor.
bhk_26069,Oya bir müzik aleti çalmanın büyük ihtimalle onu zorlayacağını söylüyor.
byz_59170,Yanlış bir numarayı ararsa Emre çok panikler.
bdu_60155,Bir şans yakalarsa ilk fırsatta Aysun yeni bir eve taşınmak istiyor.
bcz_94778,Semra bir resim yaparsa harika olacağına inanıyor.
bmh_76393,Cenk bir ağrı kesici alırsa büyük ihtimalle baş ağrısı geçebilir.
bzk_68836,Orkun belki şehir dışında bir kulübe inşa ederse mutlu olabilir.
bvg_49553,Yeliz bu kıyafet için nereden bir çanta almalı?
blv_59597,Özge annesiyle bir film izlemeye söz verdi.
boz_73368,Lale her hafta bir roman okumak istiyor.
btu_74063,Zeynep bir bilgisayarda çalışırsa işini çok hızlı halleder.
bxg_33592,Nermin bir bardak altlığı almak istiyor.
bmt_86643,Uzun ve sıkıcı bir mektup almak isteyen herkes insan kaynaklarına yazabilir.
bhe_93384,Yelda kendisine yapılan ışıltılı sürprizi bir arkadaşına anlatmak için sabırsızlanıyor.
bmi_99544,Ferhunde bir tabak kısır yemek istiyor.
bhl_87611,Cem bir kafede garsonluk yapmak istiyor.
bmz_86138,Tambur çalmayı öğrenmek isteyen öğrenciler yetenekli bir öğretmen arıyor.
bxf_79384,Teleferik kabininden düşen talihsiz gencin acilen bir hastaneye gitmesi gerekiyor.
btg_70143,Taksiye binip gideceği yere ulaşmayı başarabilen şaşkın İstanbul sakini bir kutlama yapmak istiyor.
bbb_82849,Bir satranç turnuvası kazanan öğrenciye madalya verildi.
bjf_26443,Zerrin'den kısa bir konuşma yapmasını istediler.
bcv_67636,Fatoş kendisine kırmızı ve parlak bir elma veren yaşlı kadına gülümseyerek teşekkür etti.
bvt_45633,Cumartesi gecesini kalabalık bir barda geçirmek istiyordu Doruk.
bte_77387,Doktoru bir tahlil yaptırmasının iyi olacağını düşünüyor.
