Sent_id,Ambiguous Sentence,,,
acz_68346,Ayşe bahçede bir köpek beslemek istiyordu.,,,
ahb_46588,"Ayşe, bir çocuk evlat edinmek istiyordu.",,,
ant_13756,Selim bir kamyonet almak istiyordu.,,,
aoe_21703,Filiz geçen sene bir yazlık almak istiyordu.,,,
aau_50792,mutfağa bir sandalye koymak istiyordu.,,,
aue_87733,dün Leyla salonun duvarına bir tablo asmak istiyordu.,,,
ael_84285,İlke uzun bir kitabı bitirmek istiyor.,,,
aqs_28248,Miray yorucu bir görevi tamamlamak istiyor.,,,
auy_22345,Suat bir doktora görünmek istiyor.,,,
aci_47588,Bener bir öğretmene soru sormak istiyor.,,,
alw_10116,Bir uzmana danışmak istiyor Yaren.,,,
abw_77697,Bir çiçeğe su vermek istiyor küçük çocuk.,,,
atd_52283,Şeyma sessiz bir odada çalışmak istiyor.,,,
ayy_96551,Janset gergin bir ortamdan ayrılmak istiyor.,,,
anf_92247,Konuşkan biriyle hasbihal etmek istiyor Nazan.,,,
ajh_80551,Pelin başka bir yüksek okulda okumak istiyor.,,,
arw_83080,Ufuk başka bir mevzudan bahsetmek istiyor.,,,
agz_63322,Tijen restorandaki gibi bir tatlıyı yemek istiyor.,,,
aca_92168,Kardeşime özel bir öğretmen tutup keman dersleri aldıracaklar.,,,
abk_85389,Para biriktirdikten sonra kardeşim bir araba almak istiyor.,,,
ccv_36925,Gözde bir çiçeği sulamak istiyor.,,,
cpj_27309,İlke uzun bir kitabı bitirmek istiyor.,,,
chy_89394,Başka bir yemek yemek istiyor Pınar.,,,
cob_71233,Helin başka bir denizden balık tutmak istiyor.,,,
ctd_72009,Ufuk başka bir mevzudan bahsetmek istiyor.,,,
czd_93480,Berke istiyor başka bir dosyayla ilgilenmek.,,,
cix_86394,Ahmet benimki gibi lüks bir restorana gitmek istiyor.,,,
coa_74678,Jale yaren gibi güvenilir bir arkadaşına sırlarını açmak istiyor.,,,
cxl_44412,Ferit buradaki gibi bir salonda konferans vermek istiyor.,,,
cnv_28063,Yaren alışveriş merkezindeki gibi bir sinemada film izlemek istiyor.,,,
cpa_25537,Asude hikmet gibi bir tesisatçıyla öpüşmek istiyor.,,,
csi_73759,Rüstem şakire'ninki gibi bir arabayla yola çıkmak istiyor.,,,
cyw_83227,bir öğrenci her öğretmeni aradı.,,,
cqs_80061,bir bahçıvan her ağacı budadı.,,,
czb_94211,Büşra bir pandayı görmek istiyor.,,,
cot_57346,Fırıncı bir dilim ekmeği kızartmak istiyor.,,,
csb_18307,"Büşra, o yokken odasına birinin girdiğinden şüpheleniyor.",,,
crg_31328,Bir sıvacının işini herkesten iyi yaptığını Gönül düşünüyor.,,,
ccn_71540,Bremen'deki mızıkacı bir mızıkanın kaç lira olduğundan bile habersiz.,,,
czg_63242,Bir ekmeğin kaç lira olduğunu Recep uzun zamandır sorgulamamıştı.,,,
mqj_94953,"Bir kişinin yaptığı işi herkes beğenecek diye bir kural yok, dedi Yusuf.",,,
miw_30609,Polisten aldığın evrakları dolabımdaki bir çekmeceye koymanı emretmiştim.,,,
mvr_77243,Sunay köpeğini yürütmek için onu bir parka götürmek istiyor.,,,
mwv_83692,Ders çalışırken dinlemek için bir şarkı açmak istiyormuş Buse.,,,
mkw_50924,Ozan okuduğu bölümü bırakıp başka bir bölüme geçmeyi planlıyormuş.,,,
mpq_97753,Nermin bir bardak altlığı almak istiyor.,,,
mbw_49770,Uzun ve sıkıcı bir mektup almak isteyen herkes insan kaynaklarına yazabilir.,,,
mrs_45445,Yelda kendisine yapılan ışıltılı sürprizi bir arkadaşına anlatmak için sabırsızlanıyor.,,,
mec_32608,Öğrenci ödevini yapar. ,,,
mdh_89584,Fatma bir öğretim üyesi görmek istiyor.,,,
mea_73618,Bir ağaçtan meyve toplamak istiyor Tahsin.,,,
mra_63853,Hilmican başka bir etkileyici kitaptan alıntı yapmak istiyor.,,,
mqd_17874,Polis çoğu tutuklunun gerçekten suçlu olduğundan şüpheleniyor.,,,
mjo_62328,Başka bir Avrupa ülkesini ziyaret etmek istiyor Jülide.,,,
mfh_32045,Sezen başka bir makaleye referans vermek istiyor.,,,
mwo_18064,Asude bir köpeği sahiplenmek istiyor.,,,
